Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
ORL,Harkless,59%,11.3,12.1,-0.7,-2.5,4.2,-6.6,-2.7
DEN,Foye,57%,8.4,12.2,-3.8,-1.4,-0.8,-0.6,-2.7
LAL,Johnson,48%,12.2,16.9,-4.8,-3.8,-5,1.1,-2.8
DET,Smith,75%,16,22.2,-6.1,-2.5,-6.1,3.6,-2.9
ORL,Oladipo,53%,8.3,12.3,-4,-0.2,0.6,-0.8,-2.9
DEN,Hickson,49%,12.7,18.4,-5.7,-0.2,-2,1.7,-3.2
MIA,Battier,47%,9.9,16,-6.1,8.3,6.8,1.5,-3.5
PHO,Bledsoe,72%,24.9,18.3,6.6,-3.8,20.1,-24,-3.6
MIA,Bosh,54%,22.3,20.5,1.8,0.9,15.3,-14.4,-3.6
HOU,Beverley,43%,12.1,19.2,-7.1,4.2,1.2,2.9,-3.8
PHO,Plumlee,65%,15.8,15.8,0,-1.2,10.6,-11.8,-3.9
PHI,Young,66%,15.1,17,-1.9,-9.1,-1,-8.1,-3.9
DAL,Carter,43%,15,19.7,-4.7,1.6,4.1,-2.4,-4
PHO,Tucker,67%,12.5,16.5,-4,1.6,5.6,-3.9,-4
BOS,Bass,62%,14.7,19.3,-4.6,-4.7,-1.7,-3,-4.1
SAS,Leonard,58%,18.6,17.9,0.7,3.6,17.3,-13.7,-4.1
BOS,Bradley,62%,12,14,-2,-6.7,1.7,-8.4,-4.1
CHI,Hinrich,56%,11.6,15,-3.4,2.4,8.3,-5.9,-4.2
PHI,Wroten,52%,13.4,16.2,-2.8,-10,-2.4,-7.6,-4.4
ATL,Martin,44%,13.7,19.2,-5.6,3.2,5.4,-2.2,-4.5
POR,Williams,55%,12.6,17.8,-5.2,3,7.1,-4.1,-4.8
HOU,Parsons,78%,16.5,16.3,0.3,-0.9,14.5,-15.4,-4.9
TOR,Valanciunas,55%,14.4,20.4,-5.9,-1.6,1.6,-3.2,-5
UTA,Favors,71%,18.6,18.9,-0.3,-15.8,-1.2,-14.5,-5.1
SAC,Vasquez,57%,15.3,19.8,-4.5,-7.6,-1.3,-6.3,-5.1
ORL,Moore,47%,9.7,17.9,-8.2,0.6,-0.2,0.8,-5.2
MIL,Neal,47%,12.4,11.4,1,-17.8,-0.2,-17.6,-5.2
MIL,Butler,51%,10,15.7,-5.7,-10.7,-6.1,-4.6,-5.3
MIN,Cunningham,41%,13,15,-2,0.4,13.6,-13.1,-5.7
SAC,McLemore,43%,10.7,20.2,-9.5,-4.4,-5.2,0.8,-6.1
LAL,Blake,66%,15,18.3,-3.2,-8.7,4,-12.6,-6.4
SAC,Salmons,55%,8,12.8,-4.8,-9.3,0.5,-9.8,-6.5
CLE,Jack,53%,11.2,15.9,-4.7,-11.8,-1.1,-10.7,-6.7
LAL,Gasol,61%,15,17.3,-2.3,-10.5,5.1,-15.7,-6.8
LAC,Dudley,57%,5.5,15.3,-9.8,3.2,5.8,-2.6,-7.4
MIA,Chalmers,51%,17.9,19.5,-1.6,-1.9,17.5,-19.4,-7.5
POR,Lopez,62%,13.4,25.7,-12.2,5.5,3.9,1.6,-7.6
NOH,Evans,50%,10.6,18.2,-7.6,-2.2,6,-8.2,-7.8
CHA,Taylor,52%,7.7,13.3,-5.5,-10.3,2.1,-12.4,-7.8
UTA,Lucas,52%,5.2,14.2,-9.1,-14.1,-8.7,-5.4,-7.8
CHI,Noah,61%,18.4,22.4,-4,-1.2,14.6,-15.8,-8
MEM,Miller,49%,10.8,19.5,-8.6,-6,1.2,-7.2,-8.2
UTA,Kanter,70%,16.8,24,-7.2,-14.7,-4.2,-10.4,-8.3
OKC,Sefolosha,54%,10.5,16.7,-6.2,-4.5,9.7,-14.2,-8.9
CLE,Gee,42%,8.9,12.9,-3.9,-18.3,1.4,-19.6,-9.2
SAC,Patterson,43%,7.8,22.1,-14.3,-5,-4.8,-0.1,-9.6
SAC,Thompson,42%,7.4,19.6,-12.3,-7.5,-3,-4.4,-9.7
ORL,Maxiell,44%,8.2,15.4,-7.2,-9.1,7.4,-16.5,-10.3
WAS,Webster,55%,16.6,18,-1.4,-17.1,11.3,-28.4,-10.4
UTA,Jefferson,59%,9.5,19.3,-9.8,-16.8,-4,-12.9,-10.8
CHI,Rose,57%,8.5,16.4,-8,-2.2,14.6,-16.8,-10.9
BKN,Garnett,41%,7.3,18.5,-11.2,-12.2,0.6,-12.7,-11.7
CHA,Biyombo,52%,11.2,21.8,-10.6,-11.2,2.9,-14.1,-11.8
BOS,Olynyk,46%,9.1,26.5,-17.4,-10.6,2.5,-13.1,-16
